albanie,albania
tirane,tirana
germany,alemania
andorre,andorra
andorralavella,andorralavieja
yerevan,erevan
armenie,armenia
vienna,viena
azerbaijan,azerbaiyan
belgium,belgica
brussels,bruselas
belarus,bielorrusia
balkans,sarajevo
cyprus,chipre
vaticancity,vaticano
croatia,croacia
denmark,dinamarca
copenhagen,copenhague
slovakia,eslovaquia
ljubljana,liubliana
slovenia,eslovenia
spain,espanha
tallin,estonia
finland,finlandia
france,francia
eiffeltower,torreeiffel
greece,grecia
athens,atenas
hungary,hungria
ireland,irlanda
island,islandia
iceland,islandia
reykjavik,reikiavik
italy,italia
rome,roma
latvia,letonia
lichtenstein,liechtenstein
vilnius,vilna
lithuania,lituania
luxemburg,luxemburgo
malte,malta
valetta,lavaleta
valeta,lavaleta
moldavie,moldavia
norway,noruega
holland,holanda
netherlands,holanda
poland,polonia
warsaw,varsovia
warszawa,varsovia
lisbon,lisboa
london,londres
england,inglaterra
prague,praga
czechrepublic,republicachecha
republica,republicachecha
checa,republicachecha
macedonian,macedonia
skopje,skopie
romania,rumania
russia,rusia
moscow,moscu
san,sanmarino
marino,sanmarino
belgrade,belgrado
stockholm,estocolmo
sweden,suecia
bernasuiza,berna
turkey,turquia
ukraine,ucrania
kyiv,kiev
europe,europa
city,ciudad
europa,europa
night,noche
architecture,arquitectura
travel,viaje
street,calle
sky,cielo
urban,urbano
building,edificio
light,luz
cityscape,paisajeurbano
sunset,puestadesol
lights,luces
landscape,paisaje
river,rio
bridge,puente
blue,azul
water,agua
clouds,nubes
sarajevo,sarajevo
church,iglesia
people,personas
view,vista
old,viejo
winter,invierno
paris,paris
trip,viaje
art,arte
buildings,edificios
town,pueblo
tower,torre
skyline,horizonte
white,blanco
snow,nieve
day,dia
summer,verano
nature,naturaleza
red,rojo
vacation,vacaciones
beautiful,bonito
color,color
cloudy,nublado
green,verde
sun,sol
black,negro
tourism,turismo
dusk,oscuridad
caucasus,caucaso
dark,oscuro
castle,castillo
bucharest,bucarest
exposure,exposicion
luxembourg,luxemburgo
house,casa
sea,mar
holiday,fiesta
yellow,amarillo
reflections,reflexion
center,centro
cathedral,catedral
long,largo
park,parque
explore,explorar
museum,museos
downtown,centrociudad
autumn,otoño
portrait,portrait
windows,ventanas
polska,polonia
cities,localidad
mountain,montaña
tourist,turista
tree,arbol
colors,colores
hotel,hotel
trees,arboles
sigma,sigma
skyscraper,rascacielos
bus,autobus
monochrome,monocromo
houses,casas
colour,color
monument,monumento
ville,villa
car,auto
flowers,flores
flower,flor
cloud,nube
olympus,olimpo
boat,barco
modern,moderno
new,nuevo
baltic,baltico
republic,republica
cold,frio
cars,autos
streets,calles
history,historia
canal,canales
asia,asia
roof,techo
image,imagen
scandinavia,escandinavia
rain,lluvia
shadow,sombra
outdoor,exterior
switzerland,suiza
world,mundo
balkan,balcanico
place,lugar
statue,estatua
spring,primavera
man,hombre
girl,chica
clear,limpio
picture,imagen
photos,fotos
woman,mujer
landmark,referencia
train,tren
beauty,belleza
road,carretera
centre,centro
tour,gira
hour,hora
sculpture,escultura
construction,construccion
glass,vaso
czech,checo
opera,opera
sunrise,amanecer
morning,mañana
christmas,navidad
boats,canoas
candid,franco
design,diseño
mountains,montes
harbour,puerto
palace,palacio
life,vida
station,estacion
traffic,trafico
most,casi
analog,analogico
orange,naranja
soviet,sovietico
lightroom,luzdormitorio
port,puerto
viaje,viaje
window,ventana
armenian,armenio
arte,arte
panoramic,panoramica
stairs,escalera
beach,playa
best,mejor
twilight,crepusculo
nice,bonito
mediterranean,mediterraneo
orthodox,ortodoxo
ancient,antiguo
historic,historia
colours,colores
skyscrapers,rascacielos
awesome,impresionante
railway,ferrocarril
interesting,interesante
deutschland,alemania
amazing,asombroso
